ISSN (Online)	ISSN (Print)	JournalTitle	JrId	MedAbbr	NlmId
	 2354-1059	 Tap chi Khoa hoc Tu nhien	 45946	 Tap Chi Khoa Hoc Tu Nhien	 101697158
 2380-548X		 International journal of endocrinology and metabolic disorders	 45947	 Int J Endocrinol Metab Disord	 101697187
 2364-4168	 2364-415X	 International journal of data science and analytics	 45948	 Int J Data Sci Anal	 101697185
 2254-6774	 0213-2028	 Revista espanola de linguistica aplicada	 45949	 Rev Esp Linguist Apl	 101697190
		 Jacobs journal of medical diagnosis and medical imaging	 45950	 Jacobs J Med Diagn Med Imaging	 101697222
 2474-4662		 The American journal of psychiatry residents' journal	 45951	 Am J Psychiatry Resid J	 101697230
 1558-5727	 0155-977X	 Social analysis (Adelaide, S.A.)	 45952	 Soc Anal	 101697180
 1942-0722		 Behavioral development bulletin	 45953	 Behav Dev Bull	 101579381
 2214-6245		 Journal of clinical and translational endocrinology case reports	 45954	 J Clin Transl Endocrinol Case Rep	 101697280
 2379-4933	 2379-4925	 Evidence-based practice in child and adolescent mental health	 45955	 Evid Based Pract Child Adolesc Ment Health	 101697269
 2333-9691	 2333-9683	 Annual review of linguistics	 45956	 Annu Rev Linguist	 101697282
 1984-0292		 Fractal : revista de psicologia	 45957	 Fractal (Niteroi)	 101697283
 2543-6031		 Advances in respiratory medicine	 45958	 Adv Respir Med	 101697329
 1608-3334	 1067-4136	 Russian journal of ecology	 45959	 Russ J Ecol	 9431863
	 0369-5425	 Neopsichiatria : rassegna di psichiatria, neurologia, endocrinologia	 45960	 Neopsichiatria (Pisa)	 0225403
 1883-8863	 0021-5376	 [Eiyo to shokuryo] Journal of the Japanese Society of Food and Nutrition	 45961	 Eiyo To Shokuryo	 0007504
	 0001-6195	 Acta microbiologica Polonica (1952)	 45962	 Acta Microbiol Pol (1952)	 0206214
		 Annales de chimie	 45963	 Ann Chim (Paris)	 0370557
	 0025-8407	 Medizin und Ernahrung	 45964	 Med Ernahr	 0402400
 2235-042X		 Journal of comorbidity	 45965	 J Comorb	 101693146
 2469-407X		 Journal of neurology and experimental neuroscience	 45966	 J Neurol Exp Neurosci	 101697318
 2053-1583		 2d materials	 45967	 2d Mater	 101697361
		 Immunological disorders & immunotherapy	 45968	 Immunol Disord Immunother	 101697363
 2153-2648		 International journal of prognostics and health management	 45969	 Int J Progn Health Manag	 101697362
	 0436-5712	 [Hai] The lung	 45970	 Hai	 17230190R
		 Rivista di medicina legale e legislazione sanitaria	 45971	 Riv Med Leg Legis Sanit	 20420590R
	 0559-829X	 [Shimane igaku] [Shimane medicine]	 45972	 Shimane Igaku	 20730410R
		 Alaska's health	 45973	 Alsk Health	 22440520R
 2451-9502	 2451-9480	 Nutrition and healthy aging	 45974	 Nutr Healthy Aging	 101696636
 1925-721X		 Journal international de victimologie	 45975	 J Int Vict	 101697497
 2376-9998	 2213-8005	 Clinical mass spectrometry (Del Mar, Calif.)	 45976	 Clin Mass Spectrom	 101697500
 2398-2799		 Frontiers in women's health	 45977	 Front Womens Health	 101697491
 1528-8935	 1087-1357	 Journal of manufacturing science and engineering	 45978	 J Manuf Sci Eng	 101697508
 2187-8005		 Japanese journal of helicobacter research	 45979	 Jpn J Helicobacter Res	 101697514
		 Journal of clinical & experimental immunology	 45980	 J Clin Exp Immunol	 101697507
 2474-3690		 Journal of hypertension and management	 45981	 J Hypertens Manag	 101697509
 2454-2857	 2394-4722	 Journal of cancer metastasis and treatment	 45982	 J Cancer Metastasis Treat	 101697513
 1940-6045	 0893-2336	 Neuromethods	 45983	 Neuromethods	 8508603
 2203-5826		 Journal of kidney cancer and VHL	 45984	 J Kidney Cancer VHL	 101695919
 2472-5560	 2472-5552	 SLAS discovery : advancing life sciences R & D	 45985	 SLAS Discov	 101697563
 2472-6311	 2472-6303	 SLAS technology	 45986	 SLAS Technol	 101697564
 2052-8817		 Acute medicine & surgery	 45987	 Acute Med Surg	 101635464
 2365-7464		 Cognitive research: principles and implications	 45988	 Cogn Res Princ Implic	 101697632
 2472-4998		 Journal of emerging infectious diseases	 45989	 J Emerg Infect Dis	 101697668
 2224-7297	 1028-2092	 Bangladesh journal of plant taxonomy	 45990	 Bangladesh J Plant Taxon	 101697628
 2381-3377	 2381-3369	 Literacy research : theory, method, and practice	 45991	 Lit Research	 101697565
 2043-8214	 2043-8206	 Dialogues in human geography	 45992	 Dialogues Hum Geogr	 101697536
 2380-8195		 ACS energy letters	 45993	 ACS Energy Lett	 101697523
 1750-0176	 0264-8334	 Paragraph (Cambridge, England)	 45994	 Paragraph (Mod Crit Theory Group)	 101697525
 1873-7323	 0141-0296	 Engineering structures	 45995	 Eng Struct	 101697529
	 0973-4082	 Journal of education for sustainable development	 45996	 J Educ Sustain Dev	 101697539
 1878-5212	 0891-2556	 Carbonates and evaporites	 45997	 Carbonates Evaporites	 101697591
 1460-3683	 1354-0688	 Party politics	 45998	 Party Politics	 101697589
 1461-7439	 1362-4806	 Theoretical criminology	 45999	 Theor Criminol	 101697590
 1469-9990	 1352-8165	 Performance research	 46000	 Perform Res	 101697613
 1744-5027	 0929-8215	 Journal of new music research	 46001	 J New Music Res	 101697612
 2050-1587	 2050-1579	 Mobile media & communication	 46002	 Mob Media Commun	 101697587
 1029-242X	 1025-5834	 Journal of inequalities and applications	 46003	 J Inequal Appl	 101697598
 2214-594X		 Comparative migration studies	 46004	 Comp Migr Stud	 101697592
 1461-7307	 1350-5076	 Management learning	 46005	 Manag Learn	 101697586
 1573-157X	 1383-4649	 Journal of seismology	 46006	 J Seismol	 101697605
 1433-8351		 Living reviews in relativity	 46007	 Living Rev Relativ	 101697608
 1097-0037	 0028-3045	 Networks (New York, NY)	 46008	 Networks (N Y)	 101697624
 2658-6959	 2304-196X	 Veterinariia segodnia = Veterinary science today	 46009	 Vet Segodnia	 101697755
 1868-856X		 e-Neuroforum	 46010	 eNeuroforum	 101586169
	 1004-7220	 Yi yong sheng wu li xue	 46011	 Yi Yong Sheng Wu Li Xue	 9887536
 1464-5327	 0144-1647	 Transport reviews	 46012	 Transp Rev	 101697788
 1432-1386	 0936-9937	 Journal of evolutionary economics	 46013	 J Evol Econ	 101697791
 2214-420X		 Journal of reproductive health and medicine	 46014	 J Reprod Health Med	 101697745
 2397-3374		 Nature human behaviour	 46015	 Nat Hum Behav	 101697750
		 Edorium journal of surgery	 46016	 Edorium J Surg	 101697752
 2158-205X	 2158-2041	 Contemporary social science	 46017	 Contemp Soc Sci	 101697783
 1836-5655	 1449-8596	 Journal of spatial science	 46018	 J Spat Sci	 101697785
 1948-9897	 1948-9889	 American journal of biostatistics	 46019	 Am J Biostat	 101697634
 2369-7067		 Scientific American neurology	 46020	 Sci Am Neurol	 101697637
	 1505-2680	 Polski przeglad radiologiczny	 46021	 Pol Prz Radiol	 19710400R
 2050-0505		 Energy science & engineering	 46022	 Energy Sci Eng	 101697890
 1944-7388	 0162-4075	 Concrete international : design & construction	 46023	 Concr Int	 101697887
 2468-2020	 2468-2934	 Current opinion in toxicology	 46024	 Curr Opin Toxicol	 101697847
		 Journal of medical oncology and therapeutics	 46025	 J Med Oncol Ther	 101697902
 1726-0604	 0007-8506	 CIRP annals ... manufacturing technology	 46026	 CIRP Ann Manuf Technol	 101697904
 2049-7121	 2049-7113	 American journal of cultural sociology	 46027	 Am J Cult Sociol	 101697903
 2248-2776	 1224-6808	 Geo-eco-marina	 46028	 Geoecomarina	 101697931
 1563-521X	 0010-2202	 Combustion science and technology : CST	 46029	 Combust Sci Technol	 101697886
 1949-0186	 1949-0178	 Current research in psychology	 46030	 Curr Res Psychol	 101697883
 1556-4819	 1539-2546	 North American dialogue : newsletter of the Society for the Anthropology of North America	 46031	 North Am Dialogue	 101697900
 2454-9916		 International education and research journal	 46032	 Int Educ Res J	 101697969
 2225-8140	 1562-9449	 Joannea--Geologie und Palaontologie	 46033	 Joannea Geol Palaontol	 101697901
 2398-3108		 Pulmonary and critical care medicine	 46034	 Pulm Crit Care Med	 101697971
 1937-4194	 0740-7459	 IEEE software	 46035	 IEEE Softw	 9881866
 2432-7166	 0386-6092	 Acta medica Kinki University	 46036	 Acta Med Kinki Univ	 7805730
 2377-1569		 Pediatrics and neonatal nursing : open journal	 46037	 Pediatr Neonatal Nurs	 101697986
 2472-1972		 Journal of the Endocrine Society	 46038	 J Endocr Soc	 101697997
		 Journal of neurology, neurosurgery and spine	 46039	 J Neurol Neurosurg Spine	 101698136
		 The general psychologist	 46040	 Gen Psychol	 101698116
 2456-2254		 Precision medicine	 46041	 Precis Med (Bangalore)	 101698137
	 0370-4688	 Revue francaise d'allergie	 46042	 Rev Fr Allerg	 0243726
	 0370-6117	 Revista mexicana de ciencias medicas y biologicas	 46043	 Rev Mex Cienc Med Bio	 0421122
	 0161-5564	 Life sciences (1962)	 46044	 Life Sci (1962)	 0244306
	 0367-2425	 Fortschritte der Kardiologie	 46045	 Fortschr Kardiol	 1246223
		 Rehabilitation; internationale Zeitschrift fur physikalische Medizin und Rehabilitation mit Zentralblatt	 46046	 Rehabilitation (Uelzen)	 1302715
		 Tokyo igaku zasshi. The Tokyo journal of medical sciences	 46047	 Tokyo Igaku Zasshi	 0165107
	 0097-1804	 Review of allergy and applied immunology	 46048	 Rev Allergy Appl Immunol	 59310100R
		 Transactions of the Royal Society of Canada. Sections 1, 2, and 3 = Memoires de la Societe royale du Canada. Sections 1, 2, et 3	 46049	 Trans R Soc Can (1963)	 7506128
	 0174-1683	 Pharmazeutische Zeitung	 46050	 Pharm Ztg (1856)	 19610550R
	 0014-4134	 Excerpta medica. Section 9, Surgery	 46051	 Excerpta Med 9 Surg	 0200316
		 Voprosy klinicheskoi i eksperimental'noi urologii; sbornik trudov	 46052	 Vopr Klin Eksp Urol	 0140660
 2313-4836	 0131-6397	 Sel'skokhoziaistvennaia biologiia	 46053	 Selskokhoziaistvennaia Biol	 9876621
 2168-9784		 Journal of medical diagnostic methods	 46054	 J Med Diagn Methods	 101698201
 2190-6823	 2190-6815	 Biomass conversion and biorefinery	 46055	 Biomass Convers Biorefin	 101698202
 2347-193X	 2211-4122	 Journal of cardiovascular echography	 46056	 J Cardiovasc Echogr	 101562228
 0257-8506		 Rabies bulletin Europe	 46057	 Rabies Bull Eur	 101698285
 2508-5859	 2508-5778	 Annals of hepato-biliary-pancreatic surgery	 46058	 Ann Hepatobiliary Pancreat Surg	 101698342
 1309-4866	 1300-0667	 Noro psikiyatri arsivi	 46059	 Noro Psikiyatr Ars	 9426194
 2378-9344		 Annals of vascular medicine and research	 46060	 Ann Vasc Med Res	 101698252
 2382-1205		 Journal of medical education and curricular development	 46061	 J Med Educ Curric Dev	 101690298
 2378-5136	 2378-5128	 Surgery journal (New York, N.Y.)	 46062	 Surg J (N Y)	 101695022
 2058-6264	 2056-4740	 BJPsych international	 46063	 BJPsych Int	 101654173
		 Guo ji bing du xue za zhi	 46064	 Guo Ji Bing Du Xue Za Zhi	 101698297
 2473-9537	 2473-9529	 Blood advances	 46065	 Blood Adv	 101698425
 1854-0392	 1855-5810	 Illiesia	 46066	 Illiesia	 101263336
 1677-7301	 1677-5449	 Jornal vascular brasileiro	 46067	 J Vasc Bras	 101262256
 1937-2809	 0272-4634	 Journal of vertebrate paleontology	 46068	 J Vertebr Paleontol	 101698450
		 Knowledge organization for a sustainable world: challenges and perspectives for cultural, scientific, and technological sharing in a connected society : proceedings of the fourteenth international ISKO conference 27-29 September 2016 Ri...	 46069	 Knowl Organ Sustain World Chall Perspect Cult Sci Technol Shar Connect Soc (2016)	 101698446
 2053-4353	 2053-4345	 International journal of care coordination	 46070	 Int J Care Coord	 101651081
 2374-3743	 2374-3735	 Journal of patient experience	 46071	 J Patient Exp	 101688338
 2332-6530		 CourseSource	 46072	 CourseSource	 101698419
 2458-8989		 Natural and engineering sciences	 46073	 Nat Eng Sci	 101698545
 2397-334X		 Nature ecology & evolution	 46074	 Nat Ecol Evol	 101698577
 2373-7484		 Communications in statistics. Case studies, data analysis and applications	 46075	 Commun Stat Case Stud Data Anal Appl	 101698538
 2397-5946	 2042-7190	 Meteorological technology international	 46076	 Meteorol Technol Int	 101698541
 1949-0100	 1949-0097	 American journal of virology	 46077	 Am J Virol	 101698480
 2452-3100		 Current opinion in systems biology	 46078	 Curr Opin Syst Biol	 101698476
 2325-1042	 2325-1034	 Environmental sociology	 46079	 Environ Sociol	 101698478
 2475-1405		 Journal of reward deficiency syndrome and addiction science	 46080	 J Reward Defic Syndr Addict Sci	 101698485
 1747-1567	 0732-8818	 Experimental techniques	 46081	 Exp Tech	 101698483
 2470-4008		 Neuroscience communications	 46082	 Neurosci Commun (Houst)	 101698540
 2377-004X	 1225-9276	 Asian journal of women's studies	 46083	 Asian J Women Stud	 101698533
 2191-4281	 2193-567X	 Arabian journal for science and engineering	 46084	 Arab J Sci Eng	 101698714
	 1112-9867	 Revue des sciences fondamentales et appliquees	 46085	 Rev Sci Fondam Appl	 101698692
 2230-9926		 International journal of developmental research	 46086	 Int J Dev Res	 101698707
		 HSOA journal of human endocrinology	 46087	 HSOA J Hum Endocrinol	 101698542
 1875-0796	 1875-0710	 World mycotoxin journal	 46088	 World Mycotoxin J	 101486765
 2354-2136		 Biochemistry and biotechnology research (Delta)	 46090	 Biochem Biotechnol Res	 101698799
 2387-5372	 0172-1941	 Chironomus	 46091	 Chironomus	 101698811
 2380-5439		 Journal of health education research & development	 46092	 J Health Educ Res Dev	 101698643
 2249-0183		 International journal of biotech trends and technology	 46093	 Int J Biotech Trends Technol	 101698805
 1760-7760	 1969-0622	 Recherches & educations	 46094	 Rech Educ	 101698672
 2406-0941	 1450-6637	 Temida : casopis o viktimizaciji, ljudskim pravima i rodu	 46095	 Temida (Beogr)	 101698682
 1880-828X	 1341-7649	 Journal of hard tissue biology	 46096	 J Hard Tissue Biol	 101469819
 2530-0172	 2530-0164	 Endocrinologia, diabetes y nutricion	 46097	 Endocrinol Diabetes Nutr	 101698946
 2331-205X		 Cogent medicine	 46098	 Cogent Med	 101688433
 2366-5963		 Journal of technology in behavioral science	 46099	 J Technol Behav Sci	 101698813
 2278-6074		 International journal of pharma research & review	 46100	 Int J Pharma Res Rev	 101698578
 2366-598X	 2366-5971	 International journal of intelligent robotics and applications	 46102	 Int J Intell Robot Appl	 101698814
 2332-7790		 IEEE transactions on big data	 46103	 IEEE Trans Big Data	 101698852
	 1671-8348	 Chongqing yi xue	 46104	 Chongqing Yi Xue	 101513280
 2338-7610	 2085-191X	 Biosaintifika	 46105	 Biosaintifika	 101688430
 2509-2723	 2509-2715	 GeroScience	 46106	 Geroscience	 101686284
 2377-1518		 Cancer studies and molecular medicine : open journal	 46107	 Cancer Stud Mol Med	 101698816
 2277-4203	 2277-3800	 International journal of keratoconus and ectatic corneal diseases	 46108	 Int J Keratoconus Ectatic Corneal Dis	 101685653
		 BAOJ cancer research & therapy	 46109	 BAOJ Cancer Res Ther	 101698817
 2313-433X		 Journal of imaging	 46110	 J Imaging	 101698819
 2206-7418		 Nanotheranostics	 46111	 Nanotheranostics	 101698994
 2206-6349		 Oncomedicine	 46112	 Oncomedicine	 101699015
 2468-2667		 The Lancet. Public health	 46113	 Lancet Public Health	 101699003
 2513-8634		 European medical journal. Innovations	 46114	 Euro Med J Innov	 101699036
		 Journal of dental and craniofacial research	 46115	 J Dent Craniofac Res	 101699011
 2410-3896		 Condensed matter	 46116	 Condens Matter	 101699018
 1747-7786	 1747-7778	 Journal of simulation : JOS	 46117	 J Simul	 101699028
		 Journal of psychology and cognition	 46118	 J Psychol Cogn	 101699032
 1448-5516	 1049-8001	 International journal of wildland fire	 46119	 Int J Wildland Fire	 101699224
 1531-8508	 0001-4370	 Oceanology	 46120	 Oceanology (Wash D C)	 101699215
		 Journal of digestive diseases and hepatology	 46121	 J Dig Dis Hepatol	 101698858
 2042-8685	 1476-9018	 Journal of integrated care (Brighton, England)	 46122	 J Integr Care (Brighton)	 101182773
 1758-4108	 0007-070X	 British food journal (Croydon, England)	 46123	 Br Food J	 101190976
 2042-8790	 1366-3666	 Working with older people (Brighton, England)	 46124	 Work Older People	 101086093
 2376-5704	 0022-4332	 Journal of research of the National Bureau of Standards. Section A, Physics and chemistry	 46125	 J Res Natl Bur Stand A Phys Chem	 0364551
 2042-8650	 1747-9894	 International journal of migration, health, and social care	 46126	 Int J Migr Health Soc Care	 101480334
 2056-4910	 2056-4902	 International journal of human rights in healthcare	 46127	 Int J Hum Rights Healthc	 101654822
 2284-4880	 0429-288X	 Fragmenta entomologica	 46128	 Fragm Entomol	 101699425
 2231-5128	 2231-5047	 Euroasian journal of hepato-gastroenterology	 46130	 Euroasian J Hepatogastroenterol	 101577625
 1562-6911	 0030-400X	 Optics and spectroscopy	 46131	 Opt Spectrosc	 0401016
 0976-1683	 0970-938X	 Biomedical research (Aligarh, India)	 46132	 Biomed Res (Aligarh)	 9102548
	 0013-8835	 Entomologische blatter fur biologie und systematik der kafer	 46133	 Entomol Bl Biol Syst Kafer	 0265572
 1740-7842	 1361-4568	 The new review of hypermedia and multimedia	 46134	 New Rev Hypermedia Multimed	 100940031
 2059-5166		 Hepatology, medicine and policy	 46135	 Hepatol Med Policy	 101699552
		 NOAA technical memorandum NMFS-SWFSC	 46136	 NOAA Tech Memo NMFS SWFSC	 101699551
 1467-9914	 1121-7081	 Labour (Rome, Italy : Online)	 46138	 Labour (Rome)	 101699534
 2468-1725		 Personalized medicine in psychiatry	 46140	 Pers Med Psychiatry	 101699535
		 Journal of Alzheimer's parkinsonism & dementia	 46141	 J Alzheimers Parkinsonism Dement	 101699539
		 EC pharmacology and toxicology	 46142	 EC Pharmacol Toxicol	 101699542
 2146-8311		 Journal of environmental and occupational science	 46143	 J Environ Occup Sci	 101699544
 2373-6658		 Asian/Pacific Island nursing journal	 46144	 Asian Pac Isl Nurs J	 101699697
		 International biology review	 46145	 Int Biol Rev	 101699695
		 Proceedings of the 2012 BELIV Workshop : beyond time and errors - novel evaluation methods for visualization : Seattle WA, USA - October 14-15, 2012. BELIV (Conference) (2012 : Seattle, Wash.)	 46146	 Proc 2012 BELIV Workshop (2012)	 101699716
 2214-3890	 2214-3882	 Asian journal of urology	 46147	 Asian J Urol	 101699720
 2399-7389		 Pharmacology, drug development & therapeutics	 46148	 Pharmacol Drug Dev Ther	 101699718
 2374-9466		 The international journal of research on service-learning and community engagement	 46149	 Int J Res Serv Learn Community Engagem	 101699717
 1432-2080	 0935-6185	 Psychotherapeut	 46150	 Psychotherapeut (Berl)	 9423832
 2151-206X	 1192-5604	 Rorschachiana	 46151	 Rorschachiana	 1119014R
 1610-2908	 1610-2894	 Gynakologische endokrinologie	 46152	 Gynakol Endokrinol	 101189487
 2468-7812	 2468-8630	 Musculoskeletal science & practice	 46153	 Musculoskelet Sci Pract	 101692753
 1879-0658	 0921-3449	 Resources, conservation, and recycling	 46154	 Resour Conserv Recycl	 9891750
 1867-1233	 1042-1726	 Journal of computing in higher education	 46155	 J Comput High Educ	 9886086
 1573-2673	 0376-9429	 International journal of fracture	 46156	 Int J Fract	 9880209
	 0740-7386	 AUA update series	 46157	 AUA Update Ser	 8303840
 1559-7075	 8756-3894	 TechTrends : for leaders in education & training	 46158	 TechTrends	 9881759
 1530-8049	 0734-9041	 Journal of fire sciences	 46159	 J Fire Sci	 9890136
 1572-9281	 1385-1292	 Positivity	 46160	 Positivity (Dordr)	 9891013
 1618-1093	 1617-1381	 Journal for nature conservation	 46161	 J Nat Conserv	 101229721
 1432-0525	 0001-5903	 Acta informatica	 46162	 Acta Inform	 9889990
 1572-8757	 0929-5607	 Adsorption : journal of the International Adsorption Society	 46163	 Adsorption (Boston)	 9890935
 1861-8901	 0938-8249	 Management international review : MIR : journal of international business	 46164	 Manag Int Rev	 101593556
 2451-9685	 2451-9766	 Exposure and health	 46165	 Expo Health	 101681216
 1439-037X	 0931-2250	 Journal of agronomy and crop science	 46166	 J Agron Crop Sci	 101515062
 2191-2610	 1868-260X	 Rheuma plus	 46167	 Rheuma Plus	 101590289
 2345-721X		 GSTF journal of advances in medical research	 46168	 GSTF J Adv Med Res	 101676147
 2684-1630		 Lupus (Los Angeles)	 46169	 Lupus (Los Angel)	 101699872
 2378-0231		 Socius : sociological research for a dynamic world	 46170	 Socius	 101699707
 2057-3995		 NPJ Regenerative medicine	 46171	 NPJ Regen Med	 101699846
 2059-0105		 NPJ vaccines	 46172	 NPJ Vaccines	 101699863
 2306-5729		 Data	 46173	 Data (Basel)	 101699766
 1758-5899	 1758-5880	 Global policy	 46174	 Glob Policy	 101559259
 2455-9555	 0974-4290	 International journal of chemtech research	 46175	 Int J Chemtech Res	 101513129
 2504-2106	 2504-2092	 Complementary medicine research	 46176	 Complement Med Res	 101698453
 1793-6470	 0218-3390	 Journal of biological systems	 46177	 J Biol Syst	 9312474
 1846-5153	 0352-9568	 Chemical and biochemical engineering quarterly	 46178	 Chem Biochem Eng Q	 8902445
 1436-5030	 0065-3195	 Advances in polymer science = Fortschritte der Hochpolymeren-Forschung	 46179	 Adv Polym Sci	 9881083
 2518-7724	 2072-084X	 Medychne pravo	 46180	 Med Pravo	 101499661
 1793-6578	 0217-9792	 International journal of modern physics. B	 46181	 Int J Mod Phys B	 101608568
 2379-7142		 Interdisciplinary journal of best practices in global development	 46182	 Interdiscip J Best Pract Glob Dev	 101700168
 2329-9029		 Journal of plant biochemistry & physiology	 46183	 J Plant Biochem Physiol	 101700308
		 Journal of surgery and emergency medicine	 46184	 J Surg Emerg Med	 101700167
	 2379-6375	 Diabetes research (Fairfax, Va.)	 46185	 Diabetes Res (Fairfax)	 101700166
 2471-2906		 Phytobiomes journal	 46186	 Phytobiomes J	 101700312
 2319-1104		 Journal on new biological reports	 46187	 J New Biol Rep	 101700371
 2069-5837		 Biointerface research in applied chemistry	 46188	 Biointerface Res Appl Chem	 101700098
 2199-2673	 2199-2681	 Journal of pediatric neuropsychology	 46189	 J Pediatr Neuropsychol	 101700073
 1805-0697	 1805-0689	 Czech polar reports	 46190	 Czech Polar Rep	 101700314
 2473-7313		 HSOA journal of nephrology & renal therapy	 46191	 HSOA J Nephrol Ren Ther	 101700096
 2373-9282		 Annals of clinical pathology	 46192	 Ann Clin Pathol	 101700179
 1179-1527		 Open access journal of contraception	 46193	 Open Access J Contracept	 101700100
		 Proceedings of the ... ACM Symposium on Cloud Computing [electronic resource] : SOCC ... ... SoCC (Conference)	 46195	 Proc ACM Symp Cloud Comput	 101700173
 1432-2153	 0938-1287	 Shock waves	 46196	 Shock Waves	 9884967
 1614-7456	 1433-5298	 Artificial life and robotics	 46197	 Artif Life Robot	 9891913
 2366-1089	 2366-1070	 Oncology and therapy	 46198	 Oncol Ther	 101677510
 2405-6618		 Reproductive biomedicine & society online	 46199	 Reprod Biomed Soc Online	 101700286
 2474-1272	 2474-1264	 Journal of vitreoretinal diseases	 46200	 J Vitreoretin Dis	 101700301
 1539-591X	 1523-9896	 Techniques in shoulder & elbow surgery	 46202	 Tech Shoulder Elb Surg	 100898743
 1476-489X	 1357-5279	 Child care in practice : Northern Ireland journal of multi-disciplinary child care practice	 46203	 Child Care Pract	 9815670
 2174-0550	 1130-5274	 Clinica y salud	 46204	 Clin Salud	 100890160
 2095-221X	 2095-2201	 Frontiers of environmental science & engineering	 46205	 Front Environ Sci Eng	 101700483
 2411-2844		 Journal of biomedical photonics & engineering	 46206	 J Biomed Photonics Eng	 101700482
 1638-9395	 1280-9659	 Geodiversitas	 46207	 Geodiversitas	 101700487
 2468-6441		 CASE (Philadelphia, Pa.)	 46208	 CASE (Phila)	 101700477
 1654-109X	 1402-2001	 Applied vegetation science	 46209	 Appl Veg Sci	 101700492
 2470-881X	 2470-8801	 Proceedings. International Symposium on Symbolic and Numeric Algorithms for Scientific Computing	 46210	 Proc Int Symp Symb Numer Algorithms Sci Comput	 101700533
	 0016-7800	 Jahrbuch der Geologischen Bundesanstalt (Vienna, Austria : 1945)	 46211	 Jahrb Geol Bundesanst (1945)	 101700599
 2514-8281		 Journal of the Belgian Society of Radiology	 46212	 J Belg Soc Radiol	 101698198
 2189-8448		 Physical therapy research	 46213	 Phys Ther Res	 101700769
	 2095-1191	 Nanfang nongye xuebao = Journal of Southern Agriculture	 46214	 Nanfang Nongye Xuebao	 101700744
 2398-7316	 2398-7308	 Annals of work exposures and health	 46215	 Ann Work Expo Health	 101698454
 2468-7189	 2468-7197	 Gynecologie, obstetrique, fertilite & senologie	 46216	 Gynecol Obstet Fertil Senol	 101693805
 1897-9483	 0032-3772	 Polish archives of internal medicine	 46217	 Pol Arch Intern Med	 101700960
		 Home hemodialysis international. International Symposium on Home Hemodialysis	 46218	 Home Hemodial Int	 101131505
 2460-6952	 2088-5334	 International journal on advanced science, engineering and information technology	 46219	 Int J Adv Sci Eng Inf Technol	 101700949
 2468-0141	 2095-9885	 Horticultural plant journal	 46220	 Hortic Plant J	 101700965
 2251-631X	 2251-628X	 Iranian journal of applied animal science	 46221	 Iran J Appl Anim Sci	 101700967
	 2074-5737	 Zoologia caboverdiana	 46222	 Zool Caboverdiana	 101700970
 2153-5515	 2153-5493	 Journal of hazardous, toxic and radioactive waste	 46223	 J Hazard Toxic Radioact Waste	 101566095
 2166-0476	 2166-0468	 Journal of micro- and nano-manufacturing	 46224	 J Micro Nanomanuf	 101701008
 1947-5772	 1947-5764	 Plasma medicine	 46225	 Plasma Med	 101527959
 2009-8774	 2305-6983	 Family medicine and community health	 46226	 Fam Med Community Health	 101700650
 2213-0209		 Perspectives in science	 46227	 Perspect Sci (Neth)	 101700806
 2340-0242		 Conductual : revista internacional de interconductismo y analisis de conducta	 46228	 Conductual	 101700923
 2468-7855	 2468-8509	 Journal of stomatology, oral and maxillofacial surgery	 46229	 J Stomatol Oral Maxillofac Surg	 101701089
 2509-4254	 2509-4262	 PharmacoEconomics - open	 46230	 Pharmacoecon Open	 101700780
 1349-6174	 1348-8406	 Pasonariti kenkyu	 46231	 Pasonariti Kenkyu	 101292370
 2454-1850		 International journal of environmental & agriculture research	 46232	 Int J Environ Agric Res	 101701002
 2380-5048		 Itch (Philadelphia, Pa.)	 46233	 Itch (Phila)	 101700997
 2169-9593	 2169-9577	 El Bisturi	 46234	 Bisturi (S Juan)	 101701003
 2472-1727		 Birth defects research	 46235	 Birth Defects Res	 101701004
 1465-3486	 0269-2171	 International review of applied economics	 46236	 Int Rev Appl Econ	 101700957
		 Journal of evolving stem cell research	 46237	 J Evol Stem Cell Res	 101700819
 2374-2895		 Academic pathology	 46238	 Acad Pathol	 101698648
 2059-0628		 Advances in simulation (London, England)	 46239	 Adv Simul (Lond)	 101700425
 1552-3993	 1059-6011	 Group & organization management	 46240	 Group Organ Manag	 9886946
	 0080-4703	 Papers and proceedings. Royal Society of Tasmania	 46241	 Pap Proc	 0213117
	 0022-2224	 Visible language	 46242	 Visible Lang	 9879455
 2250-1754	 0250-541X	 National Academy science letters. National Academy of Sciences, India	 46243	 Natl Acad Sci Lett	 9883006
 1538-1943	 1536-0644	 Techniques in foot & ankle surgery	 46244	 Tech Foot Ankle Surg	 101141485
 2383-398X	 2383-3971	 Journal of dental biomaterials	 46245	 J Dent Biomater	 101657341
 2473-2869		 The University of Louisville journal of respiratory infections	 46246	 Univ Louisville J Respir Infect	 101700943
 2376-8894	 2376-8886	 ... International Conference on Wearable and Implantable Body Sensor Networks. International Conference on Wearable and Implantable Body Sensor Networks	 46247	 Int Conf Wearable Implant Body Sens Netw	 101700985
 2472-7695	 2163-3479	 Oriental COCOSDA ... International Conference on Speech Database and Assessments : [proceedings]. International Conference on Speech Database and Assessments	 46248	 Int Conf Speech Database Assess	 101700623
 2470-1173		 IS&T International Symposium on Electronic Imaging	 46249	 IS&T Int Symp Electron Imaging	 101700627
